# 1246
0	1	23
0	2	20
0	3	4
0	4	4
0	5	2
0	6	3
0	7	5
0	8	10
0	9	3
0	10	3
0	11	7
0	12	12
0	13	2
0	14	4
1	2	35
1	15	5
1	3	7
1	16	2
1	17	3
1	4	8
1	18	2
1	6	2
1	19	2
1	8	20
1	9	6
1	20	2
1	21	2
1	22	2
1	10	2
1	23	2
1	11	2
1	12	23
1	24	6
2	15	8
2	25	4
2	3	11
2	16	5
2	17	3
2	4	6
2	26	2
2	27	2
2	28	2
2	8	25
2	9	4
2	20	2
2	21	3
2	10	3
2	23	2
2	29	2
2	30	2
2	12	15
15	25	3
15	3	2
15	16	3
15	31	2
15	32	6
15	33	7
15	34	4
15	35	2
15	8	2
25	3	23
25	36	11
25	28	2
25	37	2
25	38	4
25	20	4
25	30	4
3	36	4
3	8	5
3	39	2
3	38	2
3	20	3
16	18	6
40	41	3
40	42	2
40	43	6
40	26	2
40	44	2
40	45	2
40	46	2
40	47	2
40	48	2
40	49	2
40	50	5
40	51	2
40	52	2
53	54	5
53	42	5
53	55	2
53	56	17
53	57	2
53	58	2
54	59	2
54	55	3
54	60	3
54	61	8
41	17	2
41	62	3
41	18	2
41	42	2
41	63	2
41	43	6
41	26	4
41	64	4
41	65	3
17	62	4
17	27	11
17	8	3
17	9	2
17	21	12
17	66	3
17	67	2
17	68	2
17	69	7
17	70	2
17	71	4
62	18	2
62	63	2
62	36	2
62	27	2
72	42	2
4	8	3
4	20	2
4	12	5
18	73	5
18	26	14
18	74	2
18	75	2
76	63	3
76	77	2
76	78	2
76	79	14
76	80	2
81	82	4
81	59	4
81	83	3
81	84	17
81	85	2
81	86	7
81	87	3
81	88	4
81	89	3
81	90	4
81	91	2
82	59	2
82	84	2
82	87	4
82	88	3
82	92	3
82	93	2
82	94	4
59	84	2
59	95	2
59	94	2
59	96	2
59	97	4
59	90	2
98	99	31
98	83	7
98	84	3
98	100	3
101	102	2
101	103	2
101	104	8
101	105	3
102	106	9
102	107	2
102	108	2
31	109	2
99	83	5
83	84	4
83	36	5
83	97	2
83	110	2
83	111	24
112	42	2
112	113	3
112	111	4
42	26	3
42	47	2
42	56	2
42	50	4
42	57	2
42	114	4
115	116	3
115	117	5
115	118	2
116	119	2
84	63	3
84	85	4
84	120	2
84	87	2
84	121	2
63	85	3
63	77	2
63	67	6
63	79	7
63	122	2
73	26	13
73	74	3
73	123	2
73	124	2
73	64	5
73	125	2
73	126	2
73	127	11
73	128	2
73	50	3
73	129	3
73	130	2
73	131	5
73	132	6
73	133	2
73	12	2
73	134	4
85	36	2
85	135	3
85	136	2
85	79	3
36	111	3
137	138	5
137	139	5
137	27	2
137	140	2
137	68	2
137	141	2
137	142	2
138	139	38
138	143	10
138	144	2
138	145	3
138	140	4
138	146	2
138	147	13
138	141	12
138	148	2
138	149	14
138	29	2
138	150	5
138	142	10
139	143	19
139	145	3
139	140	10
139	151	2
139	152	2
139	146	4
139	147	11
139	141	5
139	149	9
139	89	2
139	150	4
139	142	10
143	153	11
143	154	2
143	155	3
143	142	4
43	156	2
43	157	2
43	140	2
43	158	4
43	39	2
43	159	2
43	65	4
160	161	2
5	162	2
5	163	4
5	7	4
5	164	6
5	165	2
5	166	4
5	49	4
5	50	5
5	11	2
5	89	2
5	13	3
5	167	30
168	169	4
168	6	5
168	7	2
168	11	22
168	170	2
168	89	2
168	171	4
169	172	41
169	6	2
169	173	2
169	174	2
172	6	3
172	175	2
172	173	2
176	177	2
178	179	19
178	180	3
178	181	2
178	174	2
179	180	7
179	182	2
180	183	2
184	162	9
184	163	3
184	7	2
184	185	2
162	163	25
162	7	3
162	186	4
162	187	2
162	188	3
162	189	2
162	190	2
162	191	2
192	193	2
192	174	2
192	194	4
6	153	5
6	195	2
6	196	2
6	197	6
6	198	4
6	199	7
6	11	9
6	193	5
6	200	3
6	174	13
6	201	10
6	58	2
6	202	5
203	204	2
203	205	2
203	206	17
203	207	6
203	208	12
203	209	4
203	30	2
203	210	7
204	211	2
204	212	2
204	190	7
204	191	6
26	213	3
26	214	2
26	215	8
26	75	7
26	127	4
26	50	5
26	57	6
26	114	2
26	216	3
26	131	2
26	217	3
26	12	2
26	134	9
218	205	5
218	219	3
218	220	3
218	144	2
218	221	2
163	7	8
163	186	9
163	222	2
163	190	2
163	167	2
163	191	2
7	118	11
7	223	2
7	11	8
7	89	2
7	173	4
7	167	3
164	205	19
164	86	2
164	32	6
164	96	2
164	167	2
205	32	6
86	195	2
86	224	2
86	89	3
219	220	12
219	189	2
156	225	3
156	226	13
156	227	3
153	195	12
153	154	5
153	224	2
153	155	5
153	228	2
153	229	4
153	230	2
153	197	6
153	198	4
153	231	4
153	232	5
195	32	2
195	233	2
195	234	2
195	197	2
195	231	2
195	232	2
32	235	9
32	236	3
32	237	2
235	233	4
235	196	2
235	151	2
235	87	3
235	238	4
235	237	4
33	154	2
33	228	2
154	228	28
233	196	13
233	224	17
233	239	2
233	240	2
233	241	7
233	242	4
233	188	2
233	243	4
233	244	2
233	245	6
196	224	5
196	240	2
196	199	4
196	243	3
196	245	4
224	241	2
224	246	2
224	199	2
224	174	2
224	51	2
224	244	2
224	245	4
247	120	2
247	248	7
247	249	2
247	250	2
247	251	3
252	253	15
252	254	4
252	255	2
252	175	2
252	256	3
252	257	2
252	258	2
252	259	25
252	260	5
252	261	5
252	262	2
252	263	2
253	254	36
253	255	23
253	264	3
253	265	3
253	175	17
253	266	4
253	267	2
253	268	2
253	269	2
253	259	5
253	263	2
270	271	19
