314	CONCEIVE
315	GET
316	TAKE
317	DIVORCE
318	LEAVE
319	MISPLACE
320	SEPARATE
321	CEASE
322	PARENTS
323	OLDER BROTHER
324	GRANDFATHER
325	UNCLE
326	PATERNAL UNCLE (FATHER'S BROTHER)
327	FATHER-IN-LAW (OF MAN)
328	FATHER-IN-LAW (OF WOMAN)
329	STEPFATHER
330	SISTER
331	OLD WOMAN
332	AUNT
333	MATERNAL AUNT (MOTHER'S SISTER)
334	PATERNAL AUNT (FATHER'S SISTER)
335	ANCESTORS
336	RELATIVES
337	DEMON
338	GRANDSON
339	GRANDDAUGHTER
340	EGG
341	BROTHER
342	SIBLING
343	YOUNGER BROTHER
344	MATERNAL UNCLE (MOTHER'S BROTHER)
345	COUSIN
346	THOU
347	GUEST
348	TWINS
349	PAIR
350	DAUGHTER-IN-LAW (OF MAN)
351	DAUGHTER-IN-LAW (OF WOMAN)
352	STEPMOTHER
353	SON-IN-LAW (OF MAN)
354	SON-IN-LAW (OF WOMAN)
355	KNIFE (FOR EATING)
356	KNIFE
357	IRON
358	RAZOR
359	SWORD
360	ORPHAN
361	BEGGAR
362	WIDOW
363	WIDOWER
364	NEIGHBOUR
365	HOUSE
366	ROOM
367	SEED
368	I
369	WE
370	HAIR (HEAD)
371	RICH
372	THEY
373	AND
374	WE (EXCLUSIVE)
375	INTENTION
376	THREE
377	ANIMAL
378	LIVESTOCK
379	CATTLE
380	BIRD
381	INSECT
382	BE ALIVE OR LIFE
383	MEAT
384	COW
385	SHEEP
386	FOWL
387	MONEY
388	OX
389	HORSE
390	THATCH
391	STABLE
392	FENCE
393	PRISON
394	EWE
395	LAMB
396	GOAT
397	WOOL
398	COTTON
399	MALE GOAT
400	BOAR (MALE PIG)
401	SOW (FEMALE PIG)
402	PIG
403	STALLION
404	BEAR
405	DEER
406	VICTORY
407	MARE
408	DONKEY
409	MULE
410	FOAL
411	HEN
412	CHICKEN
413	PROSTITUTE
414	GOOSE
415	DUCK
416	NEST
417	SPIDER WEB
418	BEEHIVE
419	DWELL (LIVE, RESIDE)
420	BED
421	HERON
422	PARROT
423	EAGLE
424	HAWK
425	VULTURE
426	CROW
427	DOG
428	CAT
429	FLESH
430	FIN
431	WING
432	FEATHER
433	SCALE
434	SHELL
435	SKIN
436	DANDRUFF
437	COIN
438	SNAIL
439	BACK
440	SPOON
441	LEATHER
442	BRASS INSTRUMENT (HORN OR TRUMPET)
443	RATTLE
444	SHARK
445	WHALE
446	WOLF
447	LION
448	FOX
449	WASP
450	MOSQUITO
451	WORM
452	LOUSE
453	NIT
454	FLEA
455	CENTIPEDE
456	SCORPION
457	SPIDER
458	FISHNET
459	BEE
460	BEESWAX
461	FLY (INSECT)
462	HONEY
463	EARWAX
464	OINTMENT
465	SANDFLY
466	SNAKE
467	BAIT
468	FROG
469	RISE (MOVE UPWARDS)
470	CUT
471	LIZARD
472	CROCODILE
473	WAIST
474	CORPSE
475	FUR
476	PEEL
477	PULL OFF (SKIN)
478	BASKET
479	HIDE (CONCEAL)
480	SHOUT
481	HAIR (BODY)
482	PUBIC HAIR
483	FELT
484	LEAF
485	COLOR
486	BEARD
487	HEAD
488	BRAID
489	JAW
490	CHIN
491	BLOOD
492	BLOOD VESSEL
493	ROOT
494	SPINE
495	SHOULDERBLADE
496	LEG
497	CHEST
498	PLATE
499	BOWL
500	ROPE
501	TAIL
502	BUTTOCKS
503	FAT (ORGANIC SUBSTANCE)
504	NAPE (OF NECK)
505	AFTER
506	LATE
507	OUTSIDE
508	RIDGEPOLE
509	CHIEFTAIN
510	SKULL
511	BEGIN OR START
512	MIND
513	KING
514	QUEEN
515	NOBLE
516	JUDGE
517	TEMPLES
518	TEMPLE
519	BRAIN
520	MOLAR TOOTH
521	GUMS
522	GRAIN
523	LOOK
524	EYELID
525	EYELASH
526	EAR
527	EARLOBE
528	EARRING
529	HEAR
530	GILL
531	LANGUAGE
532	THROAT
533	DOOR
534	WORD
535	TOOTH
536	TONGUE
537	SOUR
538	UPPER LEG (THIGH)
