341	LIGHT (IGNITE)
342	DREAM (SOMETHING)
343	VOICE
344	BAMBOO
345	FLESH
346	MEAT
347	TAIL
348	LOUSE
349	HAIR (HEAD)
350	DO
351	RAINY SEASON
352	FREEZE
353	AGE
354	AT
355	NEW
356	COME BACK
357	BEFORE
358	GIVE BACK
359	OTHER
360	WARM
361	RED
362	FEVER
363	STOVE
364	MATCH
365	FIREPLACE
366	GUN
367	EMBERS
368	SHOOT
369	FOUR
370	RIPE
371	BE
372	HEAR
373	PATH
374	LANGUAGE
375	TOBACCO
376	SMOKE (INHALE)
377	CHIMNEY
378	TAKE
379	EYEBROW
380	SWELL
381	CHARCOAL
382	WINNOWING
383	BITE
384	STOMACH
385	RUN
386	FRY
387	ROAST (SOMETHING)
388	BAKE
389	LEAD (GUIDE)
390	GIVE
391	HIDE (CONCEAL)
392	ARRIVE
393	SWEEP
394	BLOW (WITH MOUTH)
395	GLUE
396	HORN (ANATOMY)
397	SIT
398	FLY (INSECT)
399	CARRY
400	HOLD
401	TEACH
402	STINKING
403	FEAR (BE AFRAID)
404	FASTEN
405	DRY UP
406	LEFT
407	SING
408	FILL
409	ITCH (CAUSE ITCHING OR FEEL ITCHY)
410	GROW
411	SEIZE
412	ASK (REQUEST)
413	TRY
414	EXTINGUISH
415	KILL
416	JUMP
417	BEND
418	MURDER
419	FIGHT
420	COVER
421	TURN AROUND
422	PULL
423	WASH
424	BIRD
425	BODY
426	HAIR (BODY)
427	FEATHER
428	FATHER
429	FACE
430	MALE (OF PERSON)
431	CLAN
432	RELATIVES
433	MALE (OF ANIMAL)
434	THING
435	SICKLE
436	FORGET
437	KNOW (SOMETHING)
438	OLD MAN
439	MARRIED MAN
440	BOY
441	SON
442	OLD (AGED)
443	OLD (USED)
444	LONG
445	CANOE
446	MASTER
447	HOST
448	WIFE
449	MARRY
450	SON-IN-LAW (OF MAN)
451	SON-IN-LAW (OF WOMAN)
452	FRIEND
453	MARRIAGE OR WEDDING
454	GRANDFATHER
455	WASP
456	OLD WOMAN
457	ANCESTORS
458	CHIEFTAIN
459	FATHER-IN-LAW (OF MAN)
460	FATHER-IN-LAW (OF WOMAN)
461	FEMALE (OF PERSON)
462	MARRIED WOMAN
463	FEMALE (OF ANIMAL)
464	DAUGHTER
465	GIRL
466	YOUNG WOMAN
467	STRIKE
468	YOUNGER SISTER (OF MAN)
